Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000,
800 , 1900 , 2500 , 4000 , 6500 , 8200 , 17700 , 12300 , 14900 , 18300 , 21100 , 24000 , 27800 , 31700 , 36200 , 59200 , 56600 , 47800 , 53600 , 60400 , 64300 , 69700 , 75600 , 82300 , 88600 , 95600 , 102200 , 109200 , 115400 , 130100 , 130700 , 138100 , 145400 , 153800 , 162700 , 172800 , 181000 , 189500 , 200100 , 207000 , 227600 , 228300 , 240900 , 250200 , 263700 , 273900 , 280200 , 293700 , 317900 , 318600 , 330000 , 341700 , 355500 , 368900 , 384300 , 393700 , 405400 , 418900 , 433000 , 454700 , 460200 , 475900 , 492800 , 514800 , 519600 , 537100 , 551300 , 578000 , 583800 , 608000 , 625300 , 635900 , 653500 , 673900 , 684100 , 702800 , 730500 , 740200 , 755200 , 782400 , 792700 , 818600 , 831700 , 858300 , 867200 , 888300 , 917000 , 932200 , 963200 , 971700 , 1.0014e+06 , 1.0134e+06 , 1.0424e+06 , 1.059e+06 , 1.0851e+06 , 1.1027e+06 , 1.1285e+06 , 1.1531e+06 , 1.1663e+06 , 1.1977e+06 , 
800 , 1600 , 2800 , 4000 , 5900 , 7700 , 9600 , 12500 , 14600 , 17900 , 20700 , 24900 , 28400 , 31300 , 34800 , 39700 , 44000 , 49100 , 54100 , 59200 , 64200 , 69600 , 75800 , 89500 , 88300 , 117500 , 102100 , 108400 , 116100 , 123000 , 130200 , 137800 , 146400 , 154500 , 165400 , 173200 , 180700 , 196300 , 198100 , 208100 , 219200 , 227000 , 239000 , 249800 , 259100 , 271900 , 290500 , 294900 , 305700 , 315800 , 332200 , 343500 , 360100 , 367000 , 379800 , 396000 , 406500 , 426300 , 439200 , 449300 , 465500 , 482200 , 490600 , 507700 , 521700 , 543700 , 550900 , 567400 , 585500 , 608000 , 615600 , 650100 , 658200 , 671200 , 688500 , 706600 , 720900 , 739700 , 763900 , 775800 , 798800 , 813700 , 828600 , 858300 , 874000 , 895300 , 912000 , 941200 , 950300 , 983400 , 993200 , 1.0151e+06 , 1.0332e+06 , 1.0622e+06 , 1.0733e+06 , 1.1029e+06 , 1.1205e+06 , 1.148e+06 , 1.1707e+06 , 1.1904e+06 , 
600 , 1500 , 3000 , 4200 , 5900 , 7700 , 10900 , 12300 , 14700 , 18500 , 21200 , 23900 , 27200 , 31400 , 35900 , 40200 , 45100 , 56500 , 53900 , 59200 , 65300 , 70800 , 77200 , 82700 , 88200 , 96100 , 100100 , 108700 , 138200 , 166800 , 131600 , 138500 , 147400 , 156600 , 163700 , 189800 , 181300 , 190200 , 200900 , 210200 , 220000 , 229500 , 238900 , 249400 , 267400 , 273000 , 286000 , 295800 , 306600 , 320200 , 328300 , 346700 , 356900 , 365500 , 379700 , 393300 , 411900 , 421600 , 432300 , 446400 , 461400 , 481800 , 490200 , 503000 , 522900 , 542100 , 552500 , 570500 , 589100 , 600200 , 614300 , 637500 , 650100 , 671900 , 779300 , 701900 , 719700 , 750000 , 757300 , 772300 , 800700 , 813900 , 838600 , 852200 , 877800 , 892700 , 915000 , 936500 , 951400 , 979600 , 993300 , 1.0291e+06 , 1.1137e+06 , 1.0625e+06 , 1.0854e+06 , 1.0993e+06 , 1.1275e+06 , 1.1437e+06 , 1.1727e+06 , 1.1894e+06 , 
600 , 1600 , 3000 , 4200 , 5800 , 7900 , 10000 , 13000 , 15000 , 17800 , 20800 , 23900 , 27100 , 31500 , 35600 , 40300 , 44200 , 49400 , 55400 , 59700 , 64400 , 69000 , 83800 , 82700 , 88000 , 95300 , 101800 , 109000 , 115100 , 122200 , 131500 , 137800 , 146800 , 155400 , 163600 , 173100 , 180000 , 196600 , 200300 , 209100 , 218900 , 228900 , 239800 , 250500 , 281800 , 279500 , 282900 , 293400 , 305400 , 316700 , 330600 , 342000 , 361600 , 366800 , 380300 , 392200 , 406400 , 424400 , 434400 , 446700 , 462400 , 481800 , 492500 , 509200 , 523500 , 547300 , 552100 , 568200 , 586400 , 606900 , 617000 , 635500 , 658600 , 668100 , 684800 , 709700 , 740100 , 740700 , 761100 , 774700 , 800500 , 809800 , 832000 , 857300 , 870700 , 896600 , 908100 , 934600 , 1.0339e+06 , 979900 , 993500 , 1.0214e+06 , 1.035e+06 , 1.0844e+06 , 1.0802e+06 , 1.1097e+06 , 1.1216e+06 , 1.1521e+06 , 1.1787e+06 , 1.1986e+06 , 
1300 , 2000 , 3500 , 5500 , 7700 , 9500 , 12600 , 15300 , 19000 , 22400 , 25600 , 30200 , 35100 , 40700 , 44600 , 49900 , 55600 , 61800 , 80500 , 73800 , 79700 , 88600 , 94500 , 87700 , 87200 , 94900 , 101600 , 107200 , 123100 , 124300 , 132000 , 139100 , 145900 , 155300 , 163900 , 211900 , 182000 , 190800 , 222500 , 209200 , 219700 , 228300 , 244200 , 249500 , 260200 , 272600 , 325000 , 296300 , 305400 , 324200 , 329600 , 341200 , 358300 , 367000 , 380400 , 397000 , 405500 , 424700 , 431800 , 453000 , 462200 , 483400 , 490800 , 517400 , 521100 , 540200 , 551900 , 573700 , 582800 , 601600 , 622700 , 632300 , 682600 , 672500 , 685200 , 713900 , 733500 , 737400 , 771000 , 783200 , 804300 , 828000 , 834800 , 885600 , 876000 , 897100 , 936000 , 938300 , 955300 , 975400 , 1.0231e+06 , 1.0223e+06 , 1.0562e+06 , 1.0589e+06 , 1.0825e+06 , 1.1629e+06 , 1.1306e+06 , 1.1513e+06 , 1.1801e+06 , 1.1994e+06 , 
800 , 1900 , 2800 , 3900 , 5500 , 7400 , 9900 , 12100 , 15000 , 17900 , 21500 , 24700 , 27400 , 31800 , 35500 , 39100 , 44600 , 49000 , 64300 , 60300 , 65500 , 70900 , 75300 , 80900 , 89200 , 94400 , 101200 , 108800 , 115800 , 121500 , 130400 , 138800 , 147500 , 155200 , 162900 , 171700 , 189300 , 191200 , 199600 , 210400 , 219300 , 227200 , 239000 , 249700 , 260500 , 277400 , 283100 , 293100 , 306800 , 315400 , 329500 , 345900 , 353500 , 366500 , 380500 , 392100 , 411700 , 419300 , 433900 , 447800 , 463600 , 490500 , 490600 , 509100 , 519900 , 551400 , 552100 , 570100 , 707200 , 631200 , 618900 , 640200 , 649600 , 667700 , 689400 , 704100 , 719500 , 738800 , 754200 , 774300 , 801800 , 808500 , 836300 , 848500 , 876800 , 893000 , 911900 , 934300 , 1.2866e+06 , 1.4595e+06 , 1.6326e+06 , 1.2238e+06 , 1.0355e+06 , 1.0603e+06 , 1.078e+06 , 1.1122e+06 , 1.1236e+06 , 1.1489e+06 , 1.1709e+06 , 1.1926e+06 , 
700 , 1500 , 2700 , 4000 , 5900 , 7700 , 10400 , 12100 , 14600 , 17900 , 20700 , 24300 , 27800 , 31700 , 35800 , 40700 , 45200 , 48100 , 54300 , 65500 , 64000 , 71100 , 76600 , 83200 , 88100 , 95400 , 100400 , 108200 , 115500 , 123600 , 131500 , 140000 , 147800 , 153000 , 164900 , 173300 , 187600 , 191400 , 200500 , 209500 , 219100 , 229700 , 239100 , 249500 , 258900 , 278000 , 282200 , 292800 , 305900 , 316600 , 331000 , 347300 , 353700 , 365500 , 380900 , 394100 , 407700 , 430700 , 433100 , 449900 , 464500 , 481400 , 493300 , 505700 , 523300 , 544100 , 552400 , 568100 , 592200 , 622400 , 621600 , 633200 , 658200 , 666600 , 686600 , 707700 , 719800 , 746300 , 756800 , 773300 , 798800 , 812600 , 838900 , 850100 , 870400 , 898600 , 909800 , 933700 , 966600 , 974500 , 988300 , 1.0166e+06 , 1.0338e+06 , 1.064e+06 , 1.0759e+06 , 1.106e+06 , 1.1222e+06 , 1.1506e+06 , 1.1889e+06 , 1.1874e+06 , 
700 , 1600 , 3000 , 4200 , 6000 , 7800 , 10000 , 12400 , 14900 , 18200 , 20800 , 24900 , 28300 , 32400 , 36000 , 45900 , 44400 , 49500 , 54000 , 58200 , 63800 , 69400 , 76500 , 82700 , 88300 , 94500 , 101300 , 129700 , 115300 , 124700 , 131600 , 139800 , 148300 , 154900 , 161500 , 177200 , 180700 , 189100 , 199300 , 209200 , 217700 , 228600 , 240000 , 250900 , 265800 , 269900 , 282200 , 292600 , 478900 , 339000 , 340600 , 341500 , 352400 , 379100 , 391700 , 410800 , 418600 , 440600 , 447000 , 455700 , 476400 , 485400 , 492400 , 505600 , 524600 , 537600 , 552400 , 569800 , 590100 , 599800 , 617400 , 649500 , 652800 , 669500 , 687400 , 700900 , 721000 , 741100 , 813800 , 782300 , 794800 , 810400 , 837300 , 851500 , 882100 , 888000 , 924100 , 930600 , 955700 , 1.0028e+06 , 996500 , 1.0171e+06 , 1.04e+06 , 1.0616e+06 , 1.0834e+06 , 1.0989e+06 , 1.1275e+06 , 1.1437e+06 , 1.1783e+06 , 1.2017e+06 , 
600 , 1400 , 2600 , 4000 , 5700 , 8000 , 10500 , 12200 , 14900 , 17800 , 20200 , 24900 , 28200 , 31200 , 36500 , 39100 , 45000 , 48900 , 53900 , 58600 , 64500 , 69700 , 75800 , 82300 , 88500 , 94600 , 102800 , 115000 , 115800 , 123200 , 129400 , 137300 , 153400 , 154800 , 163700 , 172500 , 181200 , 188900 , 198500 , 216200 , 218200 , 228100 , 239600 , 251200 , 262000 , 271700 , 282100 , 300200 , 306400 , 317400 , 330300 , 342200 , 355800 , 373100 , 381100 , 393100 , 406900 , 419000 , 443000 , 449000 , 463200 , 475000 , 496900 , 507700 , 523200 , 538300 , 556500 , 571400 , 586700 , 600700 , 620800 , 630500 , 658300 , 670500 , 682800 , 700900 , 726700 , 738400 , 762700 , 774400 , 792900 , 816400 , 829900 , 856700 , 867000 , 893200 , 908400 , 931200 , 956300 , 971600 , 1.003e+06 , 1.0168e+06 , 1.0449e+06 , 1.0618e+06 , 1.0879e+06 , 1.1947e+06 , 1.1364e+06 , 1.1495e+06 , 1.1723e+06 , 1.1985e+06 , 
900 , 1700 , 3000 , 4300 , 5900 , 8000 , 9800 , 12500 , 15100 , 17900 , 20400 , 24100 , 28500 , 31500 , 35500 , 40600 , 44700 , 48500 , 53600 , 59300 , 63300 , 69800 , 75900 , 81800 , 88700 , 96600 , 101700 , 108600 , 115800 , 122700 , 132200 , 151900 , 147400 , 154900 , 164200 , 172500 , 181000 , 190100 , 199800 , 209700 , 218800 , 228400 , 246700 , 250800 , 260800 , 269900 , 283000 , 296600 , 305300 , 324100 , 331500 , 342600 , 352600 , 367300 , 382800 , 398400 , 405400 , 418500 , 431900 , 454100 , 462100 , 477500 , 492300 , 527700 , 520900 , 536100 , 550300 , 574700 , 587600 , 611100 , 625700 , 635600 , 653900 , 677300 , 687700 , 705000 , 729600 , 743000 , 758400 , 874600 , 966900 , 842200 , 829500 , 860800 , 875100 , 897200 , 912600 , 931000 , 967900 , 980300 , 1.0006e+06 , 1.0177e+06 , 1.0443e+06 , 1.0642e+06 , 1.0801e+06 , 1.1067e+06 , 1.1255e+06 , 1.1678e+06 , 1.1615e+06 , 1.1889e+06 , 
